Estacao,Componente,Tipo Onda,Hora,Min,Seg,Data,Distancia,Tipo Ev,Lat,Long,Prof,Estacoes,Magnitudes,ID,Sentido,Regiao,Onda,Amplitude
ROSA,BN,S,3,32,46.33,2014-01-05T03:32:36.300000,Local,Quake,38.433,-28.403,0.0,11,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}]",20140105033236,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PTCA,EN,,3,32,48.36,2014-01-05T03:32:36.300000,Local,Quake,38.433,-28.403,0.0,11,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}]",20140105033236,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PLUZ,EN,,3,32,55.18,2014-01-05T03:32:36.300000,Local,Quake,38.433,-28.403,0.0,11,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}]",20140105033236,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
STGR,EZ,,3,32,48.34,2014-01-05T03:32:36.300000,Local,Quake,38.433,-28.403,0.0,11,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}]",20140105033236,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PBOI,EZ,P,3,33,5.1,2014-01-05T03:33:04.500000,Local,Quake,38.431,-28.405,0.0,10,"[{'Magnitude': ' 2.6', 'Tipo': 'L'}, {'Magnitude': ' 2.6', 'Tipo': 'C'}]",20140105033304,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PBOI,EN,,3,33,5.94,2014-01-05T03:33:04.500000,Local,Quake,38.431,-28.405,0.0,10,"[{'Magnitude': ' 2.6', 'Tipo': 'L'}, {'Magnitude': ' 2.6', 'Tipo': 'C'}]",20140105033304,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PCND,EZ,P,3,33,5.32,2014-01-05T03:33:04.500000,Local,Quake,38.431,-28.405,0.0,10,"[{'Magnitude': ' 2.6', 'Tipo': 'L'}, {'Magnitude': ' 2.6', 'Tipo': 'C'}]",20140105033304,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PCND,EN,,3,33,6.53,2014-01-05T03:33:04.500000,Local,Quake,38.431,-28.405,0.0,10,"[{'Magnitude': ' 2.6', 'Tipo': 'L'}, {'Magnitude': ' 2.6', 'Tipo': 'C'}]",20140105033304,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PTEI,EZ,P,3,33,5.42,2014-01-05T03:33:04.500000,Local,Quake,38.431,-28.405,0.0,10,"[{'Magnitude': ' 2.6', 'Tipo': 'L'}, {'Magnitude': ' 2.6', 'Tipo': 'C'}]",20140105033304,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PTEI,EN,S,3,33,6.96,2014-01-05T03:33:04.500000,Local,Quake,38.431,-28.405,0.0,10,"[{'Magnitude': ' 2.6', 'Tipo': 'L'}, {'Magnitude': ' 2.6', 'Tipo': 'C'}]",20140105033304,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PTEI,EZ,IAML,3,33,8.23,2014-01-05T03:33:04.500000,Local,Quake,38.431,-28.405,0.0,10,"[{'Magnitude': ' 2.6', 'Tipo': 'L'}, {'Magnitude': ' 2.6', 'Tipo': 'C'}]",20140105033304,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],3778.0
PLGR,EZ,P,3,33,8.99,2014-01-05T03:33:04.500000,Local,Quake,38.431,-28.405,0.0,10,"[{'Magnitude': ' 2.6', 'Tipo': 'L'}, {'Magnitude': ' 2.6', 'Tipo': 'C'}]",20140105033304,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PLGR,EN,S,3,33,12.45,2014-01-05T03:33:04.500000,Local,Quake,38.431,-28.405,0.0,10,"[{'Magnitude': ' 2.6', 'Tipo': 'L'}, {'Magnitude': ' 2.6', 'Tipo': 'C'}]",20140105033304,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PLGR,EZ,IAML,3,33,13.67,2014-01-05T03:33:04.500000,Local,Quake,38.431,-28.405,0.0,10,"[{'Magnitude': ' 2.6', 'Tipo': 'L'}, {'Magnitude': ' 2.6', 'Tipo': 'C'}]",20140105033304,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],617.0
PCTB,EZ,P,3,33,9.95,2014-01-05T03:33:04.500000,Local,Quake,38.431,-28.405,0.0,10,"[{'Magnitude': ' 2.6', 'Tipo': 'L'}, {'Magnitude': ' 2.6', 'Tipo': 'C'}]",20140105033304,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PCTB,EN,S,3,33,13.85,2014-01-05T03:33:04.500000,Local,Quake,38.431,-28.405,0.0,10,"[{'Magnitude': ' 2.6', 'Tipo': 'L'}, {'Magnitude': ' 2.6', 'Tipo': 'C'}]",20140105033304,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PAMA,EN,S,3,33,15.36,2014-01-05T03:33:04.500000,Local,Quake,38.431,-28.405,0.0,10,"[{'Magnitude': ' 2.6', 'Tipo': 'L'}, {'Magnitude': ' 2.6', 'Tipo': 'C'}]",20140105033304,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PCUT,EN,S,3,33,14.68,2014-01-05T03:33:04.500000,Local,Quake,38.431,-28.405,0.0,10,"[{'Magnitude': ' 2.6', 'Tipo': 'L'}, {'Magnitude': ' 2.6', 'Tipo': 'C'}]",20140105033304,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PCUT,EZ,IAML,3,33,16.71,2014-01-05T03:33:04.500000,Local,Quake,38.431,-28.405,0.0,10,"[{'Magnitude': ' 2.6', 'Tipo': 'L'}, {'Magnitude': ' 2.6', 'Tipo': 'C'}]",20140105033304,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],530.0
ROSA,BN,S   4,3,33,16.65,2014-01-05T03:33:04.500000,Local,Quake,38.431,-28.405,0.0,10,"[{'Magnitude': ' 2.6', 'Tipo': 'L'}, {'Magnitude': ' 2.6', 'Tipo': 'C'}]",20140105033304,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PTCA,EN,S,3,33,16.43,2014-01-05T03:33:04.500000,Local,Quake,38.431,-28.405,0.0,10,"[{'Magnitude': ' 2.6', 'Tipo': 'L'}, {'Magnitude': ' 2.6', 'Tipo': 'C'}]",20140105033304,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
